rule_id,image_filename,case_id,baseline_matches,baseline_false_negatives,baseline_false_positives,post_matches,post_false_negatives,post_false_positives,delta_matches,delta_false_negatives,delta_false_positives,removed_labels
r019,159.jpg,159,2,0,0,2,0,0,0,0,0,
r019,160.jpg,160,2,3,0,2,3,0,0,0,0,
r019,161.jpg,161,0,1,0,0,1,0,0,0,0,
r019,162.jpg,162,1,0,0,1,0,0,0,0,0,
r019,163.jpg,163,1,0,0,1,0,0,0,0,0,
r019,164.jpg,164,1,1,0,1,1,0,0,0,0,
r019,165.jpg,165,1,0,0,1,0,0,0,0,0,
r019,166.jpg,166,1,0,0,1,0,0,0,0,0,
r019,167.jpg,167,1,0,0,1,0,0,0,0,0,
r019,168.jpg,168,1,0,0,1,0,0,0,0,0,
r019,169.jpg,169,1,1,0,1,1,0,0,0,0,
r019,170.jpg,170,1,0,0,1,0,0,0,0,0,
r019,172.jpg,172,3,0,0,3,0,0,0,0,0,
r019,187.jpg,187,2,0,0,2,0,0,0,0,0,
r020,03.jpg,3,1,0,0,1,0,0,0,0,0,
r020,06.jpg,6,1,0,0,1,0,0,0,0,0,
r020,07.jpg,7,1,0,0,1,0,0,0,0,0,
r020,08.jpg,8,1,0,0,1,0,0,0,0,0,
r020,09.jpg,9,1,0,0,1,0,0,0,0,0,
r020,10.jpg,10,1,0,0,1,0,0,0,0,0,
r020,11.jpg,11,1,1,0,1,1,0,0,0,0,
r020,12.jpg,12,1,0,0,1,0,0,0,0,0,
r020,13.jpg,13,2,0,0,2,0,0,0,0,0,
r020,14.jpg,14,1,1,0,1,1,0,0,0,0,
r020,15.jpg,15,1,0,0,1,0,0,0,0,0,
r020,16.jpg,16,1,0,0,1,0,0,0,0,0,
r020,17.jpg,17,1,0,1,1,0,1,0,0,0,
r020,18.jpg,18,1,0,0,1,0,0,0,0,0,
r020,19.jpg,19,1,0,1,1,0,1,0,0,0,
r020,20.jpg,20,1,1,0,1,1,0,0,0,0,
r020,21.jpg,21,2,1,0,2,1,0,0,0,0,
r020,22.jpg,22,6,0,0,6,0,0,0,0,0,
r020,24.jpg,24,1,0,0,1,0,0,0,0,0,
r020,25.jpg,25,1,0,0,1,0,0,0,0,0,
r020,26.jpg,26,1,0,0,1,0,0,0,0,0,
r020,27.jpg,27,1,0,0,1,0,0,0,0,0,
r020,28.jpg,28,1,0,3,1,0,3,0,0,0,
r020,29.jpg,29,1,0,0,1,0,0,0,0,0,
r020,40.png,40,1,1,0,1,1,0,0,0,0,
r020,41.png,41,1,0,0,1,0,0,0,0,0,
r020,42.png,42,1,1,0,1,1,0,0,0,0,
r020,44.jpg,44,7,2,0,7,2,0,0,0,0,
r020,46.jpg,46,1,0,0,1,0,0,0,0,0,
r020,48.jpg,48,1,0,0,1,0,0,0,0,0,
r020,49.jpg,49,1,0,0,1,0,0,0,0,0,
r020,50.jpg,50,1,0,0,1,0,0,0,0,0,
r020,51.jpg,51,1,0,0,1,0,0,0,0,0,
r020,53.jpg,53,2,1,0,2,1,0,0,0,0,
r020,56.png,56,1,0,0,1,0,0,0,0,0,
r020,57.png,57,1,0,1,1,0,1,0,0,0,
r020,59.jpg,59,1,0,0,1,0,0,0,0,0,
r020,61.jpg,61,1,0,0,1,0,0,0,0,0,
r020,62.jpg,62,1,0,0,1,0,0,0,0,0,
r020,63.jpg,63,1,0,0,1,0,0,0,0,0,
r020,64.jpg,64,1,0,0,1,0,0,0,0,0,
r020,65.jpg,65,2,0,0,2,0,0,0,0,0,
r020,66.jpg,66,8,0,5,8,0,5,0,0,0,
r020,67.jpg,67,10,1,3,10,1,3,0,0,0,
r020,68.jpg,68,2,0,0,2,0,0,0,0,0,
r020,69.jpg,69,3,0,0,3,0,0,0,0,0,
r020,70.jpg,70,2,1,0,2,1,0,0,0,0,
r020,73.jpg,73,1,0,0,1,0,0,0,0,0,
r020,74.jpg,74,1,0,0,1,0,0,0,0,0,
r020,75.jpg,75,2,0,0,2,0,0,0,0,0,
r020,76.jpg,76,1,2,0,1,2,0,0,0,0,
r020,77.jpg,77,1,0,1,1,0,1,0,0,0,
r020,78.jpg,78,1,0,0,1,0,0,0,0,0,
r020,79.jpg,79,1,0,0,1,0,0,0,0,0,
r020,80.jpg,80,1,0,0,1,0,0,0,0,0,
r020,81.jpg,81,1,0,0,1,0,0,0,0,0,
r020,82.jpg,82,2,0,0,2,0,0,0,0,0,
r020,83.jpg,83,1,0,0,1,0,0,0,0,0,
r020,84.jpg,84,8,5,0,8,5,0,0,0,0,
r020,85.jpg,85,2,0,0,2,0,0,0,0,0,
r020,86.jpg,86,1,0,1,1,0,1,0,0,0,
r020,87.jpg,87,2,0,0,2,0,0,0,0,0,
r020,88.jpg,88,1,0,1,1,0,0,0,0,-1,target_1
r020,89.jpg,89,1,0,0,1,0,0,0,0,0,
r020,90.png,90,1,0,0,1,0,0,0,0,0,
r020,91.jpg,91,3,0,0,3,0,0,0,0,0,
r020,92.jpg,92,1,0,1,1,0,1,0,0,0,
r020,93.jpg,93,3,0,0,3,0,0,0,0,0,
r020,94.jpg,94,1,0,0,1,0,0,0,0,0,
r020,95.jpg,95,1,1,0,1,1,0,0,0,0,
r020,96.jpg,96,2,0,0,2,0,0,0,0,0,
r020,97.jpg,97,1,0,1,1,0,1,0,0,0,
r020,98.jpg,98,1,0,0,1,0,0,0,0,0,
r020,99.jpg,99,2,0,0,2,0,0,0,0,0,
r020,100.jpg,100,1,2,1,1,2,0,0,0,-1,target_2
r020,102.jpg,102,0,1,0,0,1,0,0,0,0,
r020,103.jpg,103,1,0,1,1,0,1,0,0,0,
r020,104.jpg,104,1,0,0,1,0,0,0,0,0,
r020,105.jpg,105,1,0,2,1,0,2,0,0,0,
r020,106.jpg,106,1,0,0,1,0,0,0,0,0,
r020,107.jpg,107,1,0,0,1,0,0,0,0,0,
r020,108.jpg,108,1,1,0,1,1,0,0,0,0,
r020,109.jpg,109,1,0,0,1,0,0,0,0,0,
r020,110.jpg,110,3,4,1,3,4,1,0,0,0,
r020,125.jpg,125,1,0,0,1,0,0,0,0,0,
r020,141.jpg,141,2,1,0,2,1,0,0,0,0,
r020,142.jpg,142,1,0,0,1,0,0,0,0,0,
r020,143.jpg,143,1,0,0,1,0,0,0,0,0,
r020,144.jpg,144,3,0,0,3,0,0,0,0,0,
r020,145.jpg,145,1,0,0,1,0,0,0,0,0,
r020,146.jpg,146,1,1,0,1,1,0,0,0,0,
r020,147.jpg,147,1,2,0,1,2,0,0,0,0,
r020,148.jpg,148,1,0,0,1,0,0,0,0,0,
r020,149.jpg,149,1,0,0,1,0,0,0,0,0,
r020,150.jpg,150,1,0,0,1,0,0,0,0,0,
r020,151.jpg,151,1,0,0,1,0,0,0,0,0,
r020,152.jpg,152,3,0,0,3,0,0,0,0,0,
r020,153.jpg,153,1,0,0,1,0,0,0,0,0,
r020,154.jpg,154,1,1,0,1,1,0,0,0,0,
r020,155.jpg,155,2,0,1,2,0,0,0,0,-1,target_1
r020,156.jpg,156,2,0,0,2,0,0,0,0,0,
r020,157.jpg,157,1,0,0,1,0,0,0,0,0,
r020,158.jpg,158,1,0,0,1,0,0,0,0,0,
r020,159.jpg,159,2,0,0,2,0,0,0,0,0,
r020,160.jpg,160,2,3,0,2,3,0,0,0,0,
r020,161.jpg,161,0,1,0,0,1,0,0,0,0,
r020,162.jpg,162,1,0,0,1,0,0,0,0,0,
r020,163.jpg,163,1,0,0,1,0,0,0,0,0,
r020,164.jpg,164,1,1,0,1,1,0,0,0,0,
r020,165.jpg,165,1,0,0,1,0,0,0,0,0,
r020,166.jpg,166,1,0,0,1,0,0,0,0,0,
r020,167.jpg,167,1,0,0,1,0,0,0,0,0,
r020,168.jpg,168,1,0,0,1,0,0,0,0,0,
r020,169.jpg,169,1,1,0,1,1,0,0,0,0,
r020,170.jpg,170,1,0,0,1,0,0,0,0,0,
r020,172.jpg,172,3,0,0,3,0,0,0,0,0,
r020,187.jpg,187,2,0,0,2,0,0,0,0,0,
hybrid,03.jpg,3,1,0,0,1,0,0,0,0,0,
hybrid,06.jpg,6,1,0,0,1,0,0,0,0,0,
hybrid,07.jpg,7,1,0,0,1,0,0,0,0,0,
hybrid,08.jpg,8,1,0,0,1,0,0,0,0,0,
hybrid,09.jpg,9,1,0,0,1,0,0,0,0,0,
hybrid,10.jpg,10,1,0,0,1,0,0,0,0,0,
hybrid,11.jpg,11,1,1,0,1,1,0,0,0,0,
hybrid,12.jpg,12,1,0,0,1,0,0,0,0,0,
hybrid,13.jpg,13,2,0,0,2,0,0,0,0,0,
hybrid,14.jpg,14,1,1,0,1,1,0,0,0,0,
hybrid,15.jpg,15,1,0,0,1,0,0,0,0,0,
hybrid,16.jpg,16,1,0,0,1,0,0,0,0,0,
hybrid,17.jpg,17,1,0,1,1,0,1,0,0,0,
hybrid,18.jpg,18,1,0,0,1,0,0,0,0,0,
hybrid,19.jpg,19,1,0,1,1,0,1,0,0,0,
hybrid,20.jpg,20,1,1,0,1,1,0,0,0,0,
hybrid,21.jpg,21,2,1,0,2,1,0,0,0,0,
hybrid,22.jpg,22,6,0,0,6,0,0,0,0,0,
hybrid,24.jpg,24,1,0,0,1,0,0,0,0,0,
hybrid,25.jpg,25,1,0,0,1,0,0,0,0,0,
hybrid,26.jpg,26,1,0,0,1,0,0,0,0,0,
hybrid,27.jpg,27,1,0,0,1,0,0,0,0,0,
hybrid,28.jpg,28,1,0,3,1,0,3,0,0,0,
hybrid,29.jpg,29,1,0,0,1,0,0,0,0,0,
hybrid,40.png,40,1,1,0,1,1,0,0,0,0,
hybrid,41.png,41,1,0,0,1,0,0,0,0,0,
hybrid,42.png,42,1,1,0,1,1,0,0,0,0,
hybrid,44.jpg,44,7,2,0,7,2,0,0,0,0,
hybrid,46.jpg,46,1,0,0,1,0,0,0,0,0,
hybrid,48.jpg,48,1,0,0,1,0,0,0,0,0,
hybrid,49.jpg,49,1,0,0,1,0,0,0,0,0,
hybrid,50.jpg,50,1,0,0,1,0,0,0,0,0,
hybrid,51.jpg,51,1,0,0,1,0,0,0,0,0,
hybrid,53.jpg,53,2,1,0,2,1,0,0,0,0,
hybrid,56.png,56,1,0,0,1,0,0,0,0,0,
hybrid,57.png,57,1,0,1,1,0,1,0,0,0,
hybrid,59.jpg,59,1,0,0,1,0,0,0,0,0,
hybrid,61.jpg,61,1,0,0,1,0,0,0,0,0,
hybrid,62.jpg,62,1,0,0,1,0,0,0,0,0,
hybrid,63.jpg,63,1,0,0,1,0,0,0,0,0,
hybrid,64.jpg,64,1,0,0,1,0,0,0,0,0,
hybrid,65.jpg,65,2,0,0,2,0,0,0,0,0,
hybrid,66.jpg,66,8,0,5,8,0,5,0,0,0,
hybrid,67.jpg,67,10,1,3,10,1,3,0,0,0,
hybrid,68.jpg,68,2,0,0,2,0,0,0,0,0,
hybrid,69.jpg,69,3,0,0,3,0,0,0,0,0,
hybrid,70.jpg,70,2,1,0,2,1,0,0,0,0,
hybrid,73.jpg,73,1,0,0,1,0,0,0,0,0,
hybrid,74.jpg,74,1,0,0,1,0,0,0,0,0,
hybrid,75.jpg,75,2,0,0,2,0,0,0,0,0,
hybrid,76.jpg,76,1,2,0,1,2,0,0,0,0,
hybrid,77.jpg,77,1,0,1,1,0,1,0,0,0,
hybrid,78.jpg,78,1,0,0,1,0,0,0,0,0,
hybrid,79.jpg,79,1,0,0,1,0,0,0,0,0,
