rule_id,containment_threshold,iou_threshold,area_ratio_threshold,same_label_required,matches,false_negatives,false_positives,combined_errors,removed_count,safe,safety_reasons,case_66,case_67,case_84,case_97,case_110,case_155,case_166
r038,0.8,0.05,0.03,False,181,38,25,63,0,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
r039,0.8,0.05,0.05,True,181,38,25,63,0,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
r040,0.8,0.05,0.05,False,181,38,25,63,0,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
r041,0.8,0.05,0.08,True,181,38,25,63,0,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
r042,0.8,0.05,0.08,False,181,38,25,63,0,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
r043,0.8,0.05,0.1,True,181,38,24,62,1,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r044,0.8,0.05,0.1,False,181,38,24,62,1,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r045,0.8,0.05,0.15,True,181,38,24,62,1,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r046,0.8,0.05,0.15,False,181,38,24,62,1,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r047,0.8,0.05,0.2,True,181,38,24,62,1,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r048,0.8,0.05,0.2,False,181,38,24,62,1,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r049,0.8,0.08,0.03,True,181,38,25,63,0,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
r050,0.8,0.08,0.03,False,181,38,25,63,0,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
r051,0.8,0.08,0.05,True,181,38,25,63,0,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
r052,0.8,0.08,0.05,False,181,38,25,63,0,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
r053,0.8,0.08,0.08,True,181,38,25,63,0,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
r054,0.8,0.08,0.08,False,181,38,25,63,0,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/1,1/0/0
r055,0.8,0.08,0.1,True,181,38,24,62,1,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r056,0.8,0.08,0.1,False,181,38,24,62,1,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r057,0.8,0.08,0.15,True,181,38,24,62,1,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r058,0.8,0.08,0.15,False,181,38,24,62,1,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r059,0.8,0.08,0.2,True,181,38,24,62,1,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
r060,0.8,0.08,0.2,False,181,38,24,62,1,True,,8/0/5,10/1/3,8/5/0,1/0/1,3/4/1,2/0/0,1/0/0
